中心局B,中心局M,中心局N,初始路线,串行路线,初始车辆使用情况,串行车辆使用情况,初始成本,串行成本,节约成本
北京,太原,重庆,"北京-太原,太原-北京,北京-重庆,重庆-北京",北京-太原-重庆-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,0辆12t车",,35317.858,0,0
北京,太原,成都,"北京-太原,太原-北京,北京-成都,成都-北京",北京-太原-成都-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,44240.293999999994,0,0
北京,太原,贵阳,"北京-太原,太原-北京,北京-贵阳,贵阳-北京",北京-太原-贵阳-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,36659.252,0,0
北京,太原,西安,"北京-太原,太原-北京,北京-西安,西安-北京",北京-太原-西安-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,0辆12t车",,41159.566,0,0
北京,太原,兰州,"北京-太原,太原-北京,北京-兰州,兰州-北京",北京-太原-兰州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,28196.71,0,0
北京,太原,唐山,"北京-太原,太原-北京,北京-唐山,唐山-北京",北京-太原-唐山-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,9339.686,0,0
北京,太原,廊坊,"北京-太原,太原-北京,北京-廊坊,廊坊-北京",北京-太原-廊坊-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,7804.518,0,0
北京,太原,保定,"北京-太原,太原-北京,北京-保定,保定-北京",北京-太原-保定-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,10090.905999999999,0,0
北京,太原,大连,"北京-太原,太原-北京,北京-大连,大连-北京",北京-太原-大连-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,19077.773999999998,0,0
北京,太原,锦州,"北京-太原,太原-北京,北京-锦州,锦州-北京",北京-太原-锦州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,13890.144,0,0
北京,太原,徐州,"北京-太原,太原-北京,北京-徐州,徐州-北京",北京-太原-徐州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,0辆12t车",,28686.350000000002,0,0
北京,太原,青岛,"北京-太原,太原-北京,北京-青岛,青岛-北京",北京-太原-青岛-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,0辆12t车",,17707.802,0,0
北京,呼和浩特,天津,"北京-呼和浩特,呼和浩特-北京,北京-天津,天津-北京",北京-呼和浩特-天津-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,2辆12t车",,9772.153999999999,0,0
北京,呼和浩特,石家庄,"北京-呼和浩特,呼和浩特-北京,北京-石家庄,石家庄-北京",北京-呼和浩特-石家庄-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用1辆40t车,2辆20t车,0辆12t车",,20305.474000000002,0,0
北京,呼和浩特,太原,"北京-呼和浩特,呼和浩特-北京,北京-太原,太原-北京",北京-呼和浩特-太原-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,14525.364,0,0
北京,呼和浩特,沈阳,"北京-呼和浩特,呼和浩特-北京,北京-沈阳,沈阳-北京",北京-呼和浩特-沈阳-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,20578.898,0,0
北京,呼和浩特,长春,"北京-呼和浩特,呼和浩特-北京,北京-长春,长春-北京",北京-呼和浩特-长春-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,20948.144,0,0
北京,呼和浩特,哈尔滨,"北京-呼和浩特,呼和浩特-北京,北京-哈尔滨,哈尔滨-北京",北京-呼和浩特-哈尔滨-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,0辆12t车",,26662.218,0,0
北京,呼和浩特,上海,"北京-呼和浩特,呼和浩特-北京,北京-上海,上海-北京",北京-呼和浩特-上海-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,1辆12t车",,42662.899999999994,0,0
北京,呼和浩特,南京,"北京-呼和浩特,呼和浩特-北京,北京-南京,南京-北京",北京-呼和浩特-南京-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,1辆12t车",,36825.392,0,0
北京,呼和浩特,杭州,"北京-呼和浩特,呼和浩特-北京,北京-杭州,杭州-北京",北京-呼和浩特-杭州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,4辆12t车",,78590.06,0,0
北京,呼和浩特,福州,"北京-呼和浩特,呼和浩特-北京,北京-福州,福州-北京",北京-呼和浩特-福州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,43572.856,0,0
北京,呼和浩特,南昌,"北京-呼和浩特,呼和浩特-北京,北京-南昌,南昌-北京",北京-呼和浩特-南昌-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,2辆12t车",,47178.576,0,0
北京,呼和浩特,济南,"北京-呼和浩特,呼和浩特-北京,北京-济南,济南-北京",北京-呼和浩特-济南-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,2辆12t车",,31108.486,0,0
北京,呼和浩特,郑州,"北京-呼和浩特,呼和浩特-北京,北京-郑州,郑州-北京",北京-呼和浩特-郑州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,2辆12t车",,48213.928,0,0
北京,呼和浩特,武汉,"北京-呼和浩特,呼和浩特-北京,北京-武汉,武汉-北京",北京-呼和浩特-武汉-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用1辆40t车,1辆20t车,0辆12t车",,47206.01400000001,0,0
北京,呼和浩特,长沙,"北京-呼和浩特,呼和浩特-北京,北京-长沙,长沙-北京",北京-呼和浩特-长沙-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,1辆12t车",,56870.2,0,0
北京,呼和浩特,广州,"北京-呼和浩特,呼和浩特-北京,北京-广州,广州-北京",北京-呼和浩特-广州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,0辆12t车",,72742.284,0,0
北京,呼和浩特,重庆,"北京-呼和浩特,呼和浩特-北京,北京-重庆,重庆-北京",北京-呼和浩特-重庆-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,0辆12t车",,35261.394,0,0
北京,呼和浩特,成都,"北京-呼和浩特,呼和浩特-北京,北京-成都,成都-北京",北京-呼和浩特-成都-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,44183.83,0,0
北京,呼和浩特,贵阳,"北京-呼和浩特,呼和浩特-北京,北京-贵阳,贵阳-北京",北京-呼和浩特-贵阳-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,36602.788,0,0
北京,呼和浩特,西安,"北京-呼和浩特,呼和浩特-北京,北京-西安,西安-北京",北京-呼和浩特-西安-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,0辆12t车",,41103.102,0,0
北京,呼和浩特,兰州,"北京-呼和浩特,呼和浩特-北京,北京-兰州,兰州-北京",北京-呼和浩特-兰州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,1辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,28140.246,0,0
