起点省会,终点省会,路由,邮件量,总的邮件量
广州,兰州,['广州-攀枝花-兰州'],[1],1
广州,西宁,['广州-攀枝花-西宁'],[1],1
广州,银川,[],[],0
广州,乌鲁木齐,['广州-攀枝花-乌鲁木齐'],[1],1
南宁,北京,[],[],0
南宁,天津,[],[],0
南宁,石家庄,[],[],0
南宁,太原,[],[],0
南宁,呼和浩特,[],[],0
南宁,沈阳,[],[],0
南宁,长春,[],[],0
南宁,哈尔滨,[],[],0
南宁,上海,[],[],0
南宁,南京,[],[],0
南宁,杭州,[],[],0
南宁,合肥,[],[],0
南宁,福州,[],[],0
南宁,南昌,[],[],0
南宁,济南,[],[],0
南宁,郑州,[],[],0
南宁,武汉,[],[],0
南宁,长沙,[],[],0
南宁,广州,[],[],0
南宁,南宁,[],[],0
南宁,海口,[],[],0
南宁,重庆,[],[],0
南宁,成都,[],[],0
南宁,贵阳,[],[],0
南宁,昆明,[],[],0
南宁,拉萨,[],[],0
南宁,西安,[],[],0
南宁,兰州,[],[],0
南宁,西宁,[],[],0
南宁,银川,[],[],0
南宁,乌鲁木齐,[],[],0
海口,北京,[],[],0
海口,天津,[],[],0
